Date_Time_1,subjectID,Group,actual_allmeters,actual_foodupa,actual_pedmeters,actual_waterupa,actual_wheelmeters,bodymass,envirolightlux,envirooccupancy,envirorh,envirosound,envirotemp,kcal_hr,rq,vco2,vh2o,vo2,xbreak,ybreak
11/07/2021 11:43:00,7,Group,1.9943599999999995,0.02270859,1.428141,0.24932409999999994,0.0,18.34961,,,,,,0.3670171,0.9668065,1.17941,0.2123142,1.221143,97.0,134.0
11/07/2021 11:43:00,8,Group,2.1803169999999996,0.0034359999999999946,1.9306179999999995,0.11095640000000007,0.15862700000000007,18.11171,,,,,,0.3571632,0.9255014,1.108049,0.2401173,1.199497,60.0,92.0
11/07/2021 11:43:00,9,Group,3.7751530000000004,0.18524989999999997,2.6673159999999987,0.13890829999999998,0.0,19.77183,,,,,,0.3865744,0.9076908,1.182461,0.1676767,1.302995,241.0,330.0
11/07/2021 12:03:00,1,Group,0.24200900000000036,0.0,0.011109999999999953,0.0,0.0,19.32262,,,,,,0.3555745,0.6686972,0.8471279,0.2028167,1.266003,40.0,23.0
11/07/2021 12:03:00,10,Group,1.1805640000000004,0.25514950000000003,0.5740749999999997,0.0,0.0,17.52385,,,,,,0.3816391,0.981057,1.237511,0.2429003,1.266675,56.0,103.0
11/07/2021 12:03:00,11,Group,4.25981,0.18219,2.9827309999999994,0.21738239999999986,1.7689770000000005,19.80646,,,,,,0.4315571,0.9669213,1.388969,0.2461739,1.435275,371.0,559.0
11/07/2021 12:03:00,12,Group,0.05961500000000086,0.004049500000000039,0.04160399999999953,0.0039391999999999205,0.0,18.62482,,,,,,0.3043166,1.013726,1.015377,0.2114925,1.002014,6.0,43.0
11/07/2021 12:03:00,13,Group,0.9032049999999998,0.07497609999999999,0.6330989999999996,0.0025751000000000523,0.0,18.72278,,,,,,0.3267634,0.9730135,1.052752,0.2208274,1.086453,0.0,0.0
11/07/2021 12:03:00,14,Group,1.2514090000000007,0.01727040000000002,0.7186379999999994,0.0,0.0,19.86688,,,,,,0.314818,0.9691575,1.012775,0.2272033,1.047155,23.0,6.0
11/07/2021 12:03:00,15,Group,0.015489999999999782,0.0,0.013850000000001472,0.001737100000000047,0.0,19.55629,,,,,,0.3190939,0.9759558,1.031801,0.2240498,1.059899,0.0,0.0
11/07/2021 12:03:00,16,Group,0.0,0.0,0.0,0.0,0.0,18.20836,,,,,,0.284884,0.9641213,0.9136494,0.208897,0.9483813,0.0,0.0
11/07/2021 12:03:00,2,Group,0.8678699999999999,4.540000000008426e-05,0.7531819999999989,0.0,0.0,19.26571,0.0,0.0,0.0,0.0,0.0,0.3309574,0.9570081,1.055662,0.1878822,1.103373,46.0,70.0
