Cage,Event,StartDate,StartTime,EndDate,EndTime,InterIn_min,In_min,In_g,In_g_min,InF_g_min,Stud_t,Prob,Accum_g
15,46,2021/09/01,02:32:39,2021/09/01,02:38:00,24.78,5.37,0.001,0,1958.59,3.19,0.006,5.808
15,47,2021/09/01,03:49:23,2021/09/01,03:50:41,71.38,1.32,0.001,0.001,476.55,4.72,0,5.809
15,48,2021/09/01,04:04:41,2021/09/01,04:12:10,14,7.5,0.003,0,2738.57,7.74,0,5.812
15,49,2021/09/01,04:25:12,2021/09/01,04:50:03,13.03,24.87,0.611,0.025,9164.6,111.27,0,6.423
15,50,2021/09/01,16:30:09,2021/09/01,16:46:31,700.1,16.38,0.497,0.03,5986.87,1226.75,0,6.92
15,51,2021/09/01,16:56:21,2021/09/01,16:59:42,9.83,3.37,0.133,0.04,1230.82,216.69,0,7.053
15,52,2021/09/01,17:36:13,2021/09/01,17:42:01,36.52,5.82,0.239,0.041,2140.7,743.08,0,7.292
15,53,2021/09/01,17:56:04,2021/09/01,17:56:40,14.05,0.62,0.873,1.416,219.54,2037.55,0,8.165
15,54,2021/09/01,18:18:47,2021/09/01,18:19:59,22.12,1.22,0.006,0.005,438.38,14.79,0,8.171
15,55,2021/09/01,18:44:00,2021/09/01,18:47:39,24.02,3.67,0.014,0.004,1337.37,42.74,0,8.186
15,56,2021/09/01,22:20:57,2021/09/01,22:53:11,213.3,32.25,0.612,0.019,11798.74,1874.57,0,8.797
15,57,2021/09/01,22:57:17,2021/09/01,23:12:35,4.1,15.32,0.269,0.018,5565.36,620.35,0,9.066
15,58,2021/09/01,23:18:19,2021/09/01,23:22:20,5.73,4.03,0.015,0.004,1463.57,45.54,0,9.08
15,59,2021/09/01,23:29:05,2021/09/01,23:35:12,6.75,6.13,0.239,0.039,2222.89,496.36,0,9.319
15,60,2021/09/01,23:52:26,2021/09/01,23:53:43,17.23,1.3,0.003,0.002,464.95,6.32,0,9.322
15,61,2021/09/01,23:57:09,2021/09/02,00:01:49,3.43,4.68,0.09,0.019,1699,279.05,0,9.412
15,62,2021/09/02,00:07:21,2021/09/02,00:12:17,5.53,4.95,0.002,0,1786.13,8.47,0,9.415
15,63,2021/09/02,00:26:16,2021/09/02,00:30:12,13.98,3.95,0.094,0.024,1444.89,351.53,0,9.508
15,64,2021/09/02,04:30:08,2021/09/02,04:36:21,239.93,6.23,0.267,0.043,2255.19,572.99,0,9.776
15,65,2021/09/02,04:42:32,2021/09/02,04:45:55,6.18,3.4,0.046,0.013,1228.71,212.39,0,9.821
15,66,2021/09/02,05:19:07,2021/09/02,05:25:32,33.2,6.43,0.22,0.034,2329.84,497.66,0,10.041
15,67,2021/09/02,05:29:59,2021/09/02,05:32:16,4.45,2.3,0.005,0.002,826.99,13.02,0,10.046
16,1,2021/08/29,16:30:14,2021/08/29,16:41:24,0,11.18,0.342,0.031,4284.72,785.09,0,0.342
16,2,2021/08/29,16:45:40,2021/08/29,16:48:11,4.27,2.53,0.017,0.007,957.64,55.99,0,0.359
16,3,2021/08/29,17:11:51,2021/08/29,17:17:24,23.67,5.57,0.245,0.044,2114.18,715.81,0,0.604
16,4,2021/08/29,17:36:47,2021/08/29,17:46:39,19.38,9.88,0.309,0.031,3768.42,928.78,0,0.913
