Date_Time_1,subjectID,Group,actual_allmeters,actual_foodupa,actual_pedmeters,actual_waterupa,actual_wheelmeters,bodymass,kcal_hr,rq,vco2,vh2o,vo2,xbreak,ybreak
10/10/2021 8:27,8,Group_3,11.174880000000002,0.0,10.37027,0.1255559,178.38729999999998,17.62093,0.6397164,0.8650426,1.882593,0.3569194,2.17706,252.0,425.0
10/10/2021 8:27,9,Group_2,4.9853000000000005,0.0,3.3410300000000017,0.0,16.057449,17.65234,0.454091,0.8486872,1.314365,0.2808541,1.551509,382.0,374.0
10/10/2021 8:47,1,Control,9.570870000000003,0.015521090000000001,7.50348,0.04650308,0.628200000000021,17.41972,0.4524588,0.8172474,1.274136,0.2215614,1.555896,690.0,870.0
10/10/2021 8:47,10,Control,5.157,0.029868050000000007,4.75802,0.002394300000000002,64.0043,15.43937,0.5197209,0.8974598,1.57785,0.3037589,1.755116,107.0,126.0
10/10/2021 8:47,11,Group_3,10.531821999999998,0.02368620000000002,10.061783000000002,0.16624471500000002,101.27690000000001,16.60946,0.5165337,0.935515,1.618639,0.3036458,1.73019,279.0,400.0
10/10/2021 8:47,12,Group_2,5.686584,0.3310476,4.6810599999999996,0.13682864,82.8415,18.22718,0.4683693,0.8985013,1.421597,0.3258226,1.581799,260.0,383.0
10/10/2021 8:47,13,Control,3.9062899999999985,0.0,3.6260600000000007,0.11208149999999997,289.32089999999994,17.30277,0.5680989,0.902236,1.729716,0.3585053,1.917089,126.0,154.0
10/10/2021 8:47,14,Group_3,8.7744,0.506954,7.872829999999997,0.0498904,106.28980000000001,17.00451,0.4959213,0.9229457,1.536432,0.3410423,1.66609,276.0,310.0
10/10/2021 8:47,15,Group_3,5.6839200000000005,0.058365,5.173540000000001,0.012483689999999992,243.70889999999997,16.7876,0.5389708,0.8735898,1.599573,0.3479133,1.830429,226.0,226.0
10/10/2021 8:47,16,Group_2,7.165339999999999,0.02601730000000002,6.581909999999999,0.02075882,154.43859999999998,16.26383,0.4524576,0.9168664,1.395127,0.2941124,1.521936,327.0,370.0
10/10/2021 8:47,2,Group_3,5.278219999999999,0.5053452,4.478099999999998,0.2952272,32.87729999999999,18.47308,0.4948781,0.899434,1.503513,0.2944739,1.670917,465.0,530.0
10/10/2021 8:47,3,Group_2,4.905910000000002,0.009086930000000007,4.524980000000001,0.055243600000000004,212.3865,16.81082,0.5128298,0.8761247,1.525932,0.2947702,1.740544,130.0,165.0
10/10/2021 8:47,4,Control,9.840030000000002,0.4643292,8.6842,0.13003910000000002,24.06110000000001,18.64572,0.5315683,0.9015914,1.616911,0.294295,1.794257,484.0,612.0
10/10/2021 8:47,5,Group_2,11.157809999999998,0.168431417,10.390899999999998,0.015006490000000011,118.34720000000004,15.34056,0.4274232,0.8015128,1.179579,0.2663373,1.476555,251.0,359.0
10/10/2021 8:47,6,Group_3,5.425250000000002,0.0,4.831890000000001,0.0,172.2464,17.80632,0.5610253,0.833317,1.602704,0.3655168,1.92282,155.0,271.0
10/10/2021 8:47,7,Control,3.807940000000002,0.014551000000000008,3.6230200000000004,0.0,322.6871,15.98517,0.5720247,0.8756741,1.700735,0.3164446,1.941825,44.0,67.0
10/10/2021 8:47,8,Group_3,10.595490000000002,0.0,9.983900000000002,0.03006160000000002,266.0473,17.62093,0.6375412,0.8489973,1.84813,0.4125503,2.177532,192.0,291.0
10/10/2021 8:47,9,Group_2,7.593629999999997,0.08400373,6.336919999999999,0.08359731000000001,53.25563,17.65498,0.4707583,0.8399705,1.354687,0.2952903,1.610679,567.0,620.0
10/10/2021 9:07,1,Control,7.516950000000001,0.05864789,5.175549999999998,0.0,0.0,17.38717,0.400898,0.7825143,1.088381,0.216455,1.389973,486.0,665.0
10/10/2021 9:07,10,Control,0.7613400000000006,0.0,0.7192499999999988,0.0009674000000000071,0.0,15.40495,0.4008133,0.8501647,1.163963,0.3111968,1.368404,0.0,0.0
10/10/2021 9:07,11,Group_3,7.06531,0.0,5.840199999999999,0.07537589999999997,23.971599999999995,15.8863,0.4183681,0.9172847,1.290975,0.3149945,1.406999,392.0,517.0
10/10/2021 9:07,12,Group_2,7.54602,0.7403417999999999,6.298960000000001,0.1638011,74.32770000000002,18.0868,0.4508378,0.8936511,1.361416,0.3498397,1.524546,543.0,581.0
10/10/2021 9:07,13,Control,7.720410000000001,0.0,6.9374199999999995,0.10748000000000002,175.3692000000001,17.05323,0.4587161,0.8868548,1.375415,0.3709479,1.553936,702.0,732.0
10/10/2021 9:07,14,Group_3,5.111060000000002,0.21652589999999994,4.238560000000003,0.05079090000000003,39.822900000000004,16.93123,0.4618021,0.9263744,1.435943,0.3603441,1.55,318.0,385.0
10/10/2021 9:07,15,Group_3,5.44924,0.1285811,4.550599999999999,0.1011455,191.0158,16.9849,0.5329438,0.889923,1.604756,0.3663037,1.803486,334.0,366.0
10/10/2021 9:07,16,Group_2,8.89459,0.011445299999999992,7.675590000000003,0.0522909,11.720300000000009,16.47682,0.3929811,0.9367383,1.232686,0.2976837,1.315995,431.0,370.0
10/10/2021 9:07,2,Group_3,7.092040000000001,0.11685469999999998,5.858180000000001,0.14099789999999995,44.49829999999997,18.67499,0.4932384,0.8840447,1.478404,0.3123026,1.671029,410.0,500.0
10/10/2021 9:07,3,Group_2,6.409269999999999,0.012241169999999996,5.546499999999998,0.0899799,89.65440000000001,17.53319,0.4628474,0.8842342,1.386453,0.3067373,1.568309,602.0,580.0
10/10/2021 9:07,4,Control,5.46519,0.19305839999999996,4.63813,0.08601159999999997,183.21050000000002,18.67715,0.5548141,0.8828187,1.660539,0.3131454,1.880321,352.0,520.0
10/10/2021 9:07,5,Group_2,7.278700000000004,0.14292919999999998,5.923710000000003,0.22535447999999997,36.94259999999997,15.68064,0.4040931,0.8607354,1.183721,0.2845962,1.376729,529.0,525.0
10/10/2021 9:07,6,Group_3,3.5963199999999986,0.0,2.9740499999999983,0.0,163.5396,17.82318,0.5262353,0.8202252,1.485381,0.413317,1.808616,208.0,309.0
10/10/2021 9:07,7,Control,1.1870200000000004,0.0,1.0500700000000016,0.0,371.2916,16.27221,0.5291979,0.824753,1.49837,0.3458417,1.8175,61.0,52.0
10/10/2021 9:07,8,Group_3,3.774339999999995,0.0,3.4850400000000015,0.016325299999999987,399.38069999999993,17.62093,0.6179622,0.803742,1.714853,0.4501642,2.132134,89.0,161.0
10/10/2021 9:07,9,Group_2,5.169090000000001,0.020946270000000003,3.6751199999999997,0.046010899999999993,2.1801399999999944,17.65763,0.3610671,0.8214933,1.020917,0.3161299,1.240459,62.0,95.0
10/10/2021 9:27,1,Control,3.2520199999999946,5.684999999999718e-05,1.804470000000002,0.0,0.0,17.3546,0.3582793,0.7640389,0.9544116,0.2367187,1.247334,84.0,45.0
10/10/2021 9:27,10,Control,0.0,0.0,0.0,0.0,0.0,15.36861,0.3784938,0.828582,1.075893,0.2927467,1.298729,0.0,0.0
10/10/2021 9:27,11,Group_3,9.409130000000001,0.0,7.610250000000001,0.07688690000000004,28.514599999999973,17.11762,0.4387952,0.905515,1.339818,0.30327,1.479679,566.0,623.0
10/10/2021 9:27,12,Group_2,10.8993,0.10759000000000007,8.98904,0.0623862,1.709699999999998,17.81794,0.4236095,0.8856548,1.269986,0.3398436,1.435056,504.0,686.0
10/10/2021 9:27,13,Control,9.87033,0.0,8.601250000000004,0.0687084,7.96569999999997,17.23887,0.4299955,0.8878426,1.290787,0.3689871,1.456225,247.0,256.0
10/10/2021 9:27,14,Group_3,5.147459999999995,0.0028978000000000614,4.443169999999995,0.0670287,124.26569999999998,16.99031,0.4450305,0.9032792,1.355914,0.3579453,1.501531,179.0,194.0
10/10/2021 9:27,15,Group_3,8.226480000000002,0.0689921,7.214299999999998,0.12589340000000002,95.28349999999989,17.2226,0.46891,0.8899596,1.412609,0.3488346,1.586608,403.0,464.0
10/10/2021 9:27,16,Group_2,1.7393999999999998,0.0,1.504439999999999,0.017045099999999994,0.0,16.59632,0.3902881,0.875599,1.161059,0.2905016,1.324707,0.0,0.0
10/10/2021 9:27,2,Group_3,9.001249999999999,0.0,7.3322199999999995,0.12153049999999999,15.276400000000024,18.57692,0.4327581,0.887008,1.299622,0.3196334,1.465428,703.0,813.0
10/10/2021 9:27,3,Group_2,4.22336,0.0,3.3611299999999993,0.011409700000000023,2.894999999999982,17.71494,0.3945585,0.8610292,1.15727,0.2965713,1.34383,0.0,0.0
10/10/2021 9:27,4,Control,10.734859999999998,0.1769389,9.36475,0.0682547,20.79729999999995,18.62265,0.4507546,0.898212,1.36742,0.3146079,1.52251,550.0,579.0
10/10/2021 9:27,5,Group_2,9.25508,0.01481980000000005,7.5941800000000015,0.05855880000000002,36.742200000000025,15.78651,0.3744888,0.84777,1.084346,0.2667697,1.27942,410.0,620.0
10/10/2021 9:27,6,Group_3,8.357570000000003,0.0,7.21848,0.0,69.58370000000002,17.87823,0.4402911,0.8471058,1.272168,0.4208857,1.50499,468.0,681.0
10/10/2021 9:27,7,Control,1.1541599999999974,0.0,1.0511899999999983,0.0,349.0981999999999,16.36852,0.4961614,0.8077009,1.381885,0.3340671,1.710478,48.0,53.0
10/10/2021 9:27,8,Group_3,4.248000000000005,0.0,3.5546099999999967,0.07766630000000002,173.76,17.61212,0.4927366,0.8255637,1.395994,0.4342362,1.692034,197.0,431.0
10/10/2021 9:27,9,Group_2,0.33655000000000257,0.0,0.019479999999997943,0.0,0.0,17.66027,0.3297502,0.7628224,0.8769831,0.3134884,1.148412,31.0,55.0
10/10/2021 9:47,1,Control,0.13788000000000267,0.0,0.0002999999999993008,0.0,0.0,17.32202,0.3336392,0.7194314,0.8442554,0.1867714,1.174044,23.0,14.0
10/10/2021 9:47,10,Control,0.07798000000000016,0.0,0.07309000000000054,0.0,0.0,15.33147,0.3771808,0.8233079,1.066783,0.2465096,1.295733,36.0,36.0
10/10/2021 9:47,11,Group_3,11.279420000000002,0.008800799999999998,9.594999999999999,0.030929800000000007,27.454800000000034,17.35255,0.3660857,0.9087906,1.121027,0.2746756,1.233588,609.0,929.0
10/10/2021 9:47,12,Group_2,3.140270000000001,0.0,2.507719999999999,0.0,0.0,17.72155,0.3698419,0.8257308,1.048331,0.2890162,1.269875,2.0,59.0
10/10/2021 9:47,13,Control,0.42907000000000295,0.0,0.37702999999999776,0.0,0.0,17.27682,0.391216,0.8168098,1.100397,0.3201992,1.345655,0.0,0.0
10/10/2021 9:47,14,Group_3,0.6875399999999985,0.0,0.5884,0.0045960000000000445,4.273599999999988,16.90851,0.3548014,0.8459704,1.026876,0.3194547,1.212289,0.0,0.0
10/10/2021 9:47,15,Group_3,4.239189999999994,0.0013596000000000164,3.8501100000000044,0.02811659999999999,13.378000000000156,17.23013,0.4319794,0.8506449,1.253967,0.3020729,1.474948,18.0,44.0
10/10/2021 9:47,16,Group_2,0.0,0.0,0.0,0.0,0.0,16.55816,0.3476502,0.8368677,0.9962123,0.2338876,1.190652,0.0,0.0
10/10/2021 9:47,2,Group_3,8.983850000000004,0.0,6.950949999999999,0.030567200000000017,1.6030999999999835,18.42267,0.4576113,0.8782277,1.362049,0.279135,1.553014,455.0,519.0
10/10/2021 9:47,3,Group_2,0.0,0.0,0.0,0.0,0.0,17.67969,0.3554575,0.8416026,1.023376,0.2494981,1.216046,0.0,0.0
10/10/2021 9:47,4,Control,3.8793500000000023,0.08212299999999995,3.342329999999997,0.0,1.227800000000002,18.79274,0.4282019,0.8750529,1.272758,0.2668067,1.453699,0.0,0.0
