StartDate,StartTime,Cage,In_g
10/10/2020,7:46:02 PM,1,0.003
10/10/2020,8:51:51 PM,1,0.004
10/10/2020,11:21:35 PM,1,0.002
10/10/2020,11:26:57 PM,1,0.004
10/11/2020,12:05:05 AM,1,0.002
10/11/2020,12:25:08 AM,1,0.005
10/11/2020,11:06:19 AM,1,0.487
10/11/2020,12:52:49 PM,1,0.774
10/11/2020,3:43:29 PM,1,0.014
10/11/2020,5:23:58 PM,1,0.094
10/11/2020,5:38:47 PM,1,0.215
10/11/2020,5:57:06 PM,1,0.379
10/11/2020,6:28:46 PM,1,0.003
10/11/2020,7:04:51 PM,1,0.293
10/11/2020,9:16:58 PM,1,0.384
10/11/2020,9:45:54 PM,1,0.006
10/11/2020,9:57:19 PM,1,0.295
10/11/2020,11:45:51 PM,1,0.365
10/12/2020,2:21:46 AM,1,0.342
10/12/2020,2:52:22 AM,1,0.119
10/12/2020,3:05:58 AM,1,0.003
10/12/2020,5:30:04 AM,1,0.037
10/12/2020,5:42:42 AM,1,0.004
10/1/2020,3:41:45 PM,2,0.174
10/1/2020,4:39:42 PM,2,0.158
10/1/2020,5:15:58 PM,2,0.716
10/1/2020,5:36:12 PM,2,0.006
10/1/2020,5:57:23 PM,2,0.006
10/1/2020,6:01:02 PM,2,0.003
10/1/2020,7:30:45 PM,2,0.016
10/1/2020,7:38:09 PM,2,0.081
10/1/2020,7:48:22 PM,2,0.08
10/1/2020,8:09:40 PM,2,0.123
10/1/2020,8:34:55 PM,2,0.162
10/1/2020,8:58:53 PM,2,0.007
10/1/2020,9:07:45 PM,2,0.025
10/1/2020,9:34:45 PM,2,0.163
10/1/2020,10:37:54 PM,2,0.007
10/1/2020,10:47:50 PM,2,0.177
10/1/2020,11:19:49 PM,2,0.079
10/1/2020,11:41:31 PM,2,0.694
10/2/2020,1:52:10 AM,2,0.008
10/2/2020,3:13:29 AM,2,0.032
10/2/2020,3:31:51 AM,2,0.025
10/2/2020,3:46:41 AM,2,0.005
10/2/2020,3:57:59 AM,2,0.023
10/2/2020,5:56:18 AM,2,0.003
10/2/2020,8:55:53 AM,2,0.01
10/2/2020,2:52:26 PM,2,0.013
10/2/2020,5:24:59 PM,2,0.007
