Date_Time_1,subjectsID,,actual_foodupa,kcal,kcal_mean,actual_allmeters,bodymass,rq,actual_pedmeters,vco2,vo2,locomotion,actual_waterupa
8/4/2021 15:00,1,Control,0.1140038,1.1661726,0.29154315,3.347795,23.622495,0.8837316,3.0998925,0.874391725,0.987560425,310,0.1434969
8/4/2021 15:00,4,Control,0.0185307,1.3508697,0.337717425,0.31128,25.39003,0.806476975,0.2534775,0.939422525,1.16458325,49.75,0
8/4/2021 15:00,7,Control,0.1055573,1.3298427,0.332460675,0.42576,25.461495,0.847585525,0.1451875,0.963988375,1.135458,100.25,0
8/4/2021 15:00,10,Control,0.0007239,1.3178517,0.329462925,0.09289825,22.67008,0.807110475,0.08666275,0.916688175,1.13605475,14.75,0
8/4/2021 15:00,13,Control,0.0347269,1.299617,0.32490425,0.070975,26.17606,0.916742275,0.0406925,0.9954864,1.094662,21.5,0
8/4/2021 15:00,3,Six_Meal,0,1.5571542,0.38928855,1.1918025,27.32666,0.7649003,0.78956475,1.04864835,1.352026825,165.75,0.00805653
8/4/2021 15:00,5,Six_Meal,0,1.4761817,0.369045425,0.13061,22.81438,0.93521675,0.00587075,1.15789125,1.23576,44.75,0
8/4/2021 15:00,9,Six_Meal,0,1.2594016,0.3148504,0.18231,26.34409,0.823230525,0.125693,0.882879875,1.0837456,26,0
8/4/2021 15:00,12,Six_Meal,0.00485257,1.3337741,0.333443525,1.255915,22.4481575,0.77092465,0.8794175,0.898833425,1.1578996,152,0
8/4/2021 15:00,16,Six_Meal,0.0433355,1.3499547,0.337488675,0.771355,25.86562,0.7275582,0.3467825,0.844130925,1.19035845,162.5,0.01574656
8/4/2021 15:00,2,Three_Meal,0,1.177701,0.29442525,0.1415875,24.471975,0.778893075,0.03766,0.7960675,1.021729675,44,0
8/4/2021 15:00,6,Three_Meal,0,1.3072163,0.326804075,0.337669,24.41318,0.757399625,0.22598325,0.863100225,1.13984925,48.25,0
8/4/2021 15:00,8,Three_Meal,0.1570136,1.0721122,0.26802805,0.21988,20.69316,0.771952225,0.19784425,0.711806975,0.933741775,17.5,0
8/4/2021 15:00,11,Three_Meal,0,1.0534216,0.2633554,0.0095275,20.5765075,0.74905395,0.00628,0.688984475,0.92038565,1.75,0
8/4/2021 15:00,14,Three_Meal,0.02041621,1.2166012,0.3041503,1.4269225,21.7831725,0.75705005,1.25842,0.808330575,1.059416,121.25,0
8/4/2021 15:00,15,Three_Meal,0.0002316,1.3946501,0.348662525,0.982345,26.12805,0.78395155,0.690015,0.95180365,1.2073959,148.5,0.00283008
8/4/2021 16:00,1,Control,0.2564219,0.8751409,0.218785225,1.525985,23.542545,0.87986785,1.1452175,0.657467775,0.740741125,185.25,0.0223686
8/4/2021 16:00,4,Control,0.0302343,1.4507164,0.3626791,0.7161325,25.2911,0.8326797,0.432255,1.0385205,1.24233625,77.75,0
8/4/2021 16:00,7,Control,0.0892004,1.3687011,0.342175275,0.6288975,25.3884875,0.8721723,0.201965,1.015958475,1.16195625,133,0
8/4/2021 16:00,10,Control,0.1760336,1.4749527,0.368738175,0.475655,22.6626275,0.8341514,0.37454275,1.052987375,1.2639005,56.75,0.0661622
8/4/2021 16:00,13,Control,0.1181038,1.317885,0.32947125,0.1127275,26.1691025,0.9447263,0.040195,1.040556625,1.1013275,15,0
8/4/2021 16:00,3,Six_Meal,0.54567139,1.86318,0.465795,1.6525775,27.32666,0.834453925,1.21558,1.350326725,1.59091325,248.25,0.13488782
8/4/2021 16:00,5,Six_Meal,0,1.6499388,0.4124847,1.3395425,22.81438,0.9505707,0.91048575,1.3091345,1.37702175,153.5,0.1954951
8/4/2021 16:00,9,Six_Meal,0.37170433,1.6914272,0.4228568,1.9051,26.34409,0.868553625,1.23775425,1.257056375,1.43550075,376.5,0.1513942
8/4/2021 16:00,12,Six_Meal,0.41287247,1.5077219,0.376930475,1.2035625,22.7967625,0.8226905,0.8555275,1.082528825,1.29025575,155.75,0.13648525
8/4/2021 16:00,16,Six_Meal,0.3256641,1.6192774,0.40481935,2.3808975,25.86562,0.81278035,1.89786,1.14845435,1.3896975,359.75,0.22323251
